product_name,product_price,product_discount,product_rate,product_link
"cmf by NOTHING Watch Pro Smartwatch With Bluetooth Calling, AMOLED Display, Dark Grey","3,299",This product is not have any discount,4.4,/egypt-en/watch-pro-smartwatch-with-bluetooth-calling-amoled-display-dark-grey/N70030268V/p/?o=c4783f7a6f4ef73b
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Graphite/Black,"7,961",64% Off,4.4,/egypt-en/galaxy-watch-6-classic-47-mm-gps-smartwatch-graphite-black/N53422411A/p/?o=a87575a50a2c919c
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Black","2,200",This product is not have any discount,4.4,/egypt-en/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-black/N70062230V/p/?o=d2d8df5b78f90faf
T800 Ultra Series 8 Smart Watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger,348,56% Off,3.3,/egypt-en/t800-ultra-series-8-smart-watch-2-08-inch-ips-display-nfc-bluetooth-v5-call-waterproof-ip67-wireless-charger/Z5F9011FE00ECAA092980Z/p/?o=z5f9011fe00ecaa092980z-1
Wearfit Pro X8+ Plus Ultra Series 8 Smart watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger - Black,680,65% Off,4.0,/egypt-en/x8-plus-ultra-series-8-smart-watch-2-08-inch-ips-display-nfc-bluetooth-v5-call-waterproof-ip67-wireless-charger-black/ZA012086B33C46056611AZ/p/?o=za012086b33c46056611az-1
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Silver","2,390",40% Off,4.4,/egypt-en/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-silver/N70062227V/p/?o=e61d1464cf509c9e
JOYROOM 300mAh JR-FT5 Fit-Life Smart Watch Can Make and Answer Calls 1.83-inch HD Screen 80 Sports Modes Fitness Monitor Health Monitor Monitor Blood Oxygen Blood Pressure Heart Rate Pressure Sleep Monitoring Message Reminder Smart Watch Suitable for Men Women Smart Watch Compatible with Apple Android Phone Black,"1,399",30% Off,4.1,/egypt-en/300mah-jr-ft5-fit-life-smart-watch-can-make-and-answer-calls-1-83-inch-hd-screen-80-sports-modes-fitness-monitor-health-monitor-monitor-blood-oxygen-blood-pressure-heart-rate-pressure-sleep-monitoring-message-reminder-smart-watch-suitable-for-men-wom/N53369921A/p/?o=ab9988fefbaaef1d
"Amazfit Active Smart Watch With Ai Fitness Exercise Coach, Gps, Bluetooth Calling, Music, 14 Day Battery, 1.75 Inch Amoled Display, Alexa Built-In, Fitness Watch For Android And iPhone Midnight Black","4,890",This product is not have any discount,4.1,/egypt-en/active-smart-watch-with-ai-fitness-exercise-coach-gps-bluetooth-calling-music-14-day-battery-1-75-inch-amoled-display-alexa-built-in-fitness-watch-for-android-and-iphone-midnight-black/N70027867V/p/?o=a95015da600d929f
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS Android Grey","5,999",23% Off,4.6,/egypt-en/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-android-grey/N70060909V/p/?o=b58b33b5fb8735ab
"Xiaomi Smart Band 8 (BHR7166GL) – Champagne Gold, 1.62"" AMOLED, Heart Rate & SpO₂ Monitor, 100+ Sports Modes, 16-Day Battery, 5ATM Water Resistance Gold","1,663",16% Off,4.5,/egypt-en/smart-band-8-bhr7166gl-champagne-gold-1-62-amoled-heart-rate-spo-monitor-100-sports-modes-16-day-battery-5atm-water-resistance-gold/N70001420V/p/?o=bfe0e27233aac43f
