,job_title,company_name,job_type,work_mode
199,Senior Tableau BI Developer,"New Cairo, Cairo, Egypt",Full Time,On-site
200,Senior Spare Parts Planning Engineer,"Cairo, Egypt",Full Time,On-site
201,"Non Voice (Mail&Chat)B2 English Speakers,e&UAE","Maadi, Cairo, Egypt",Full Time,On-site
202,Financial Analyst - Business Performance,"Obour City, Cairo, Egypt",Full Time,On-site
203,Account Manager,"6th of October, Giza, Egypt",Full Time,On-site
204,Cost Accountant,"Smouha, Alexandria, Egypt",Full Time,On-site
205,Account Manager (Finance),"Cairo, Egypt",Full Time,On-site
206,Organizational Development Specialist (OD),"New Cairo, Cairo, Egypt",Full Time,On-site
207,Administrative Specialist- Males Only,"6th of October, Giza, Egypt",Full Time,On-site
208,Foreign Procurement Specialist / Sadat city,"Alsadat City, Monufya, Egypt",Full Time,On-site
209,Senior Database Developer,"Dokki, Giza, Egypt",Full Time,On-site
210,Talent Acquisition Specialist,"Maadi, Cairo, Egypt",Full Time,On-site
211,MS Dynamics 365 ERP Developer,"New Cairo, Cairo, Egypt",Full Time,On-site
212,Digital Media Buyer,"6th of October, Giza, Egypt",Full Time,On-site
213,Merchandiser Manager,"New Nozha, Cairo, Egypt",Full Time,On-site
214,Senior procurement & Logistics Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
215,Project Manager,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
216,Media Buyer,"New Cairo, Cairo, Egypt",Full Time,On-site
217,Cost Control Accountant,"Manial, Cairo, Egypt",Full Time,On-site
218,"Non voice (Mail&chat) B2 English Speakers,e&UAE","Maadi, Cairo, Egypt",Full Time,On-site
219,Collection Specialist,"Mansoura, Dakahlia, Egypt",Full Time,On-site
220,Senior Odoo Techno-Functional,"Cairo, Egypt",Full Time,On-site
221,Business Development Representative,"Maadi, Cairo, Egypt",Full Time,On-site
222,HR Analytics,"Abu Rawash, Giza, Egypt",Full Time,On-site
223,Senior Business Developer,"Nasr City, Cairo, Egypt",Full Time,On-site
224,Operations Team leader..,"Maadi, Cairo, Egypt",Full Time,On-site
225,Sales Operations Manager,"Hadayek Alahram, Giza, Egypt",Full Time,On-site
226,Assistant Brand Manager,"Downtown, Cairo, Egypt",Full Time,On-site
227,Sales & Marketing Coordinator,"Maadi, Cairo, Egypt",Full Time,On-site
228,Retail Purchasing Manager In Libya,"Benghazi, Libya",Full Time,On-site
229,Cost Accountant,"Cairo, Egypt",Full Time,On-site
230,Business Process Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
231,Reception,"New Cairo, Cairo, Egypt",Full Time,On-site
232,Social Media Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
233,Senior Marketing Specialist,"Obour City, Cairo, Egypt",Full Time,Remote
234,Operational Analyst,"Giza, Egypt",Full Time,On-site
235,Sales Operations Analyst,"6th of October, Giza, Egypt",Full Time,On-site
236,Purchases Manager,"New Cairo, Cairo, Egypt",Full Time,On-site
237,Legal Advisor and GDPR Trainer,"Maadi, Cairo, Egypt",Full Time,On-site
